name,team,points,cost,e3-harelbeke,gent-wevelgem,dwars-door-vlaanderen,ronde-van-vlaanderen,scheldeprijs,paris-roubaix,de-brabantse-pijl,amstel-gold-race,la-fleche-wallone,liege-bastogne-liege
Amaël Moinard,Fortuneo - Samsic,0,6,0,0,0,0,0,0,0,0,0,0
Sergey Firsanov,Gazprom-RusVelo ,0,6,0,0,0,0,0,0,0,0,0,0
William Bonnet,Groupama - FDJ,0,6,0,0,0,0,0,0,0,0,0,0
Davide Cimolai,Groupama - FDJ,10,6,0,0,0,0,0,0,0,0,0,0
Mickaël Delage,Groupama - FDJ,10,6,1,1,0,1,0,0,0,0,0,0
David Gaudu,Groupama - FDJ,0,6,0,0,0,0,0,0,0,0,1,0
Jacopo Guarnieri,Groupama - FDJ,10,6,1,1,0,1,0,0,0,0,0,0
Ignatas Konovalovas,Groupama - FDJ,10,6,1,1,0,1,0,0,0,0,0,0
Matthieu Ladagnous,Groupama - FDJ,10,6,0,1,0,0,0,0,0,0,0,0
Rudy Molard,Groupama - FDJ,0,6,0,0,0,0,0,0,0,1,1,1
Steve Morabito,Groupama - FDJ,0,6,0,0,0,0,0,0,0,0,0,0
Sebastien Reichenbach,Groupama - FDJ,0,6,0,0,0,0,0,0,0,0,0,0
Anthony Roux,Groupama - FDJ,0,6,0,0,0,0,0,0,0,1,1,1
Jérémy Roy,Groupama - FDJ,0,6,0,0,0,0,0,0,0,0,0,0
Marc Sarreau,Groupama - FDJ,0,6,0,1,0,0,0,0,0,0,0,0
Ramon Sinkeldam,Groupama - FDJ,0,6,1,0,0,1,0,0,0,0,0,0
Benjamin Thomas,Groupama - FDJ,0,6,0,0,0,0,0,0,0,0,0,0
Arthur Vichot,Groupama - FDJ,0,6,0,0,0,0,0,0,0,0,0,0
Guillaume Boivin,Israel Cycling Academy,0,6,0,0,0,0,0,0,0,0,0,0
Zakkari Dempster,Israel Cycling Academy,0,6,0,0,0,0,0,0,0,0,0,0
Sondre Holst Enger,Israel Cycling Academy,0,6,0,0,0,0,0,0,0,0,0,0
Ben Hermans,Israel Cycling Academy,0,6,0,0,0,0,0,0,0,0,0,0
August Jensen,Israel Cycling Academy,0,6,0,0,0,0,0,0,0,0,0,0
Krists Neilands,Israel Cycling Academy,0,6,0,0,0,0,0,0,0,0,0,0
Rubén Plaza,Israel Cycling Academy,0,6,0,0,0,0,0,0,0,0,0,0
Mihkel Raim,Israel Cycling Academy,0,6,0,0,0,0,0,0,0,0,0,0
Kristian Sbaragli,Israel Cycling Academy,0,6,0,0,0,0,0,0,0,1,0,0
Lars Ytting Bak,Lotto Soudal,0,6,0,0,1,0,0,0,0,0,0,0
Victor Campenaerts,Lotto Soudal,0,6,0,0,0,0,0,0,0,0,0,0
Jasper De Buyst,Lotto Soudal,0,6,1,1,1,1,1,0,0,0,0,0
Thomas De Gendt,Lotto Soudal,0,6,0,0,0,0,0,0,0,0,1,1
Adam Hansen,Lotto Soudal,0,6,0,0,0,0,0,0,0,0,0,0
Moreno Hofland,Lotto Soudal,0,6,0,1,1,0,0,1,0,0,0,0
Bjorg Lambrecht,Lotto Soudal,0,6,0,0,0,0,0,0,0,0,0,0
Nikolas Maes,Lotto Soudal,0,6,1,0,0,0,1,0,0,0,0,0
Maxime Monfort,Lotto Soudal,0,6,0,0,0,0,0,0,0,0,1,1
Marcel Sieberg,Lotto Soudal,0,6,0,0,0,1,1,0,0,0,0,0
Tosh Van Der Sande,Lotto Soudal,0,6,0,0,0,0,0,0,0,0,0,0
Jelle Vanendert,Lotto Soudal,0,6,0,0,0,0,0,0,0,1,1,1
Jelle Wallays,Lotto Soudal,0,6,1,1,0,1,1,0,0,0,0,0
Jack Bauer,Mitchelton-Scott,0,6,1,1,1,1,0,0,0,0,0,0
Mathew Hayman,Mitchelton-Scott,0,6,1,1,1,1,0,1,0,0,0,0
Daryl Impey,Mitchelton-Scott,20,6,0,0,0,0,0,0,0,1,0,0
Christopher Juul-Jensen,Mitchelton-Scott,20,6,0,0,0,0,0,0,0,0,0,0
Roger Kluge,Mitchelton-Scott,20,6,0,1,1,0,0,0,0,0,0,0
Luka Mezgec,Mitchelton-Scott,0,6,0,1,1,1,0,1,0,0,0,0
Svein Tuft,Mitchelton-Scott,20,6,0,0,0,0,0,0,0,0,0,0
Andrey Amador,Movistar Team,0,6,1,0,0,1,0,0,0,0,0,0
Daniele Bennati,Movistar Team,0,6,0,1,0,1,0,0,0,0,0,0
Carlos Betancur,Movistar Team,0,6,0,1,0,0,0,0,0,0,0,0
Víctor De La Parte,Movistar Team,0,6,0,0,0,0,0,0,0,0,0,0
Imanol Erviti,Movistar Team,0,6,0,0,0,1,0,0,0,0,0,0
Rubén Fernández,Movistar Team,0,6,0,0,0,0,0,0,0,0,0,0
Nelson Oliveira,Movistar Team,0,6,1,0,0,1,0,0,0,0,0,0
Eduardo Sepúlveda,Movistar Team,0,6,0,0,0,0,0,0,0,0,0,0
Marc Soler,Movistar Team,0,6,0,0,0,0,0,1,0,1,1,1
Rafael Valls,Movistar Team,0,6,0,0,0,0,0,0,0,0,0,0
Marco Canola,Nippo - Vini Fantini,30,6,0,0,0,0,0,0,0,0,0,0
Damiano Cunego,Nippo - Vini Fantini,0,6,0,0,0,0,0,0,0,0,0,0
Juan José Lobato,Nippo - Vini Fantini,0,6,0,0,0,0,0,0,0,1,0,0
Laurens De Plus,Quick-Step Floors,0,6,0,0,0,0,0,0,0,0,0,0
Tim Declercq,Quick-Step Floors,0,6,0,1,0,1,0,0,0,0,0,0
Fabio Jakobsen,Quick-Step Floors,0,6,0,0,0,0,1,0,0,0,0,0
Iljo Keisse,Quick-Step Floors,0,6,1,0,1,1,1,0,0,0,0,0
Davide Martinelli,Quick-Step Floors,0,6,0,0,0,0,1,0,0,0,0,0
Enric Mas,Quick-Step Floors,0,6,0,0,0,0,0,0,0,1,1,1
Jhonatan Narvaez,Quick-Step Floors,0,6,0,0,0,0,0,0,0,0,0,0
Ariel Maximiliano Richeze,Quick-Step Floors,5,6,0,1,0,0,0,0,0,0,0,0
Fabio Sabatini,Quick-Step Floors,0,6,0,0,0,0,1,0,0,0,0,0
Florian Sénéchal,Quick-Step Floors,0,6,0,1,0,1,1,0,0,0,0,0
Pieter Serry,Quick-Step Floors,0,6,0,0,0,0,0,0,0,1,1,1
Tim Ariesen,Roompot - Nederlandse Loterij,0,6,0,0,0,0,0,0,0,0,0,0
Jesper Asselman,Roompot - Nederlandse Loterij,0,6,0,0,0,1,0,0,0,0,0,0
Floris Gerts,Roompot - Nederlandse Loterij,0,6,1,1,0,1,0,0,0,0,0,0
Pim Ligthart,Roompot - Nederlandse Loterij,0,6,1,1,0,1,1,0,0,0,0,0
Pieter Weening,Roompot - Nederlandse Loterij,0,6,0,0,0,0,0,0,0,0,0,0
Wouter Wippert,Roompot - Nederlandse Loterij,0,6,0,0,0,0,1,0,0,0,0,0
Edward Planckaert,Sport Vlaanderen - Baloise,0,6,0,1,0,1,1,0,0,0,0,0
Preben Van Hecke,Sport Vlaanderen - Baloise,0,6,0,1,0,1,0,0,0,0,0,0
José Gonçalves,Team Katusha - Alpecin,0,6,1,1,0,1,0,0,0,0,0,0
Reto Hollenstein,Team Katusha - Alpecin,0,6,1,0,1,0,0,0,0,0,0,0
Robert Kišerlovski,Team Katusha - Alpecin,0,6,0,0,0,0,0,0,0,0,0,0
Viacheslav Kuznetsov,Team Katusha - Alpecin,0,6,0,0,1,0,0,0,0,0,0,0
Maurits Lammertink,Team Katusha - Alpecin,0,6,0,0,0,0,0,0,0,1,1,1
Baptiste Planckaert,Team Katusha - Alpecin,0,6,1,0,1,1,0,0,0,0,0,0
Willie Smit,Team Katusha - Alpecin,0,6,0,0,0,0,0,0,0,0,0,0
Simon Špilak,Team Katusha - Alpecin,0,6,0,0,0,0,0,0,0,0,0,0
Mads Würtz Schmidt,Team Katusha - Alpecin,0,6,0,0,0,0,1,1,0,0,0,0
Rick Zabel,Team Katusha - Alpecin,0,6,1,1,0,1,1,1,0,0,0,0
Enrico Battaglin,Team LottoNL-Jumbo,0,6,0,0,0,0,0,0,0,0,0,0
George Bennett,Team LottoNL-Jumbo,0,6,0,0,0,0,0,0,0,0,0,0
Stef Clement,Team LottoNL-Jumbo,0,6,0,0,0,0,0,0,0,0,0,0
Floris De Tier,Team LottoNL-Jumbo,0,6,0,0,0,0,0,0,0,1,1,1
Steven Kruijswijk,Team LottoNL-Jumbo,0,6,0,0,0,0,0,0,0,0,1,0
Sepp Kuss,Team LottoNL-Jumbo,0,6,0,0,0,0,0,0,0,0,0,0
Bert-Jan Lindeman,Team LottoNL-Jumbo,0,6,0,0,0,0,0,0,0,0,0,0
Neilson Powless,Team LottoNL-Jumbo,0,6,0,0,0,0,0,0,0,0,0,0
Gijs Van Hoecke,Team LottoNL-Jumbo,0,6,1,1,0,1,0,0,0,0,0,0
Danny Van Poppel,Team LottoNL-Jumbo,0,6,0,1,1,0,0,0,0,0,0,0
Maarten Wynants,Team LottoNL-Jumbo,0,6,1,0,0,0,0,0,0,0,0,0
Jonathan Castroviejo,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
David De La Cruz,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
Kenny Elissonde,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
Tao Geoghegan Hart,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
Michal Golas,Team Sky,0,6,1,1,0,0,0,0,0,0,0,0
Kristoffer Halvorsen,Team Sky,0,6,1,1,1,0,0,0,0,0,0,0
Sebastián Henao,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
Beñat Intxausti,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
Vasil Kiryienka,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
Christian Knees,Team Sky,0,6,1,1,0,1,0,0,0,0,0,0
Christopher Lawless,Team Sky,0,6,0,0,1,0,0,0,0,0,0,0
David Lopez,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
Salvatore Puccio,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
Pavel Sivakov,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
Łukasz Wiśniowski,Team Sky,0,6,0,0,0,0,0,0,0,0,0,0
Nikias Arndt,Team Sunweb,0,6,0,1,1,1,0,1,0,0,0,0
Simon Geschke,Team Sunweb,0,6,0,0,0,0,0,0,0,1,1,1
Sam Oomen,Team Sunweb,0,6,0,0,0,0,0,0,0,0,0,1
Michael Storer,Team Sunweb,0,6,0,0,0,0,0,0,0,0,0,0
Mike Teunissen,Team Sunweb,0,6,1,1,1,1,1,0,0,0,0,0
Gianluca Brambilla,Trek - Segafredo,0,6,0,0,0,0,0,0,0,0,0,0
Laurent Didier,Trek - Segafredo,0,6,0,0,0,0,0,0,0,0,0,0
Michael Gogl,Trek - Segafredo,0,6,0,0,0,0,0,0,0,0,0,0
Markel Irizar,Trek - Segafredo,0,6,0,0,0,0,0,0,0,0,0,0
